persona,accuracy,total_count
no_personalization/chain_parallel,0.6317,10
no_personalization/chain_sequential,0.6716,10
no_personalization/confirmation_batch,0.7049,10
no_personalization/disambiguation_gradual,0.7364,7
no_personalization/disambiguation_upfront,0.7364,7
no_personalization/each_confirmation,0.8431,10
no_personalization/error_discovery_brief,0.7471,10
no_personalization/error_discovery_detail,0.6838,10
no_personalization/error_retry_escalation,0.5208,4
no_personalization/error_retry_silent,0.5208,4
no_personalization/info_collect_gradual,0.6843,10
no_personalization/info_collect_upfront,0.6801,10
no_personalization/param_high,0.5913,7
no_personalization/param_low,0.7658,10
no_personalization/param_medium,0.6196,10
no_personalization/presentation_compact,0.6594,10
no_personalization/presentation_layered,0.7186,10
no_personalization/silent,0.5871,10
no_personalization/source_high,0.7431,12
no_personalization/source_low,0.7629,12
no_personalization/tool_abortion_continue,0.7192,10
no_personalization/tool_abortion_stop,0.7194,10
no_personalization/tool_high,0.8262,7
no_personalization/tool_initiative_proactive,0.5369,10
no_personalization/tool_initiative_reactive,0.5707,10
no_personalization/tool_invocation_multiple,0.5479,8
no_personalization/tool_invocation_single,0.4917,8
no_personalization/tool_low,0.6186,10
no_personalization/tool_medium,0.6421,10
no_personalization/tool_switch_high_agency,0.6622,8
no_personalization/tool_switch_low_agency,0.5527,8
personalization/chain_parallel,0.6960,10
personalization/chain_sequential,0.7438,10
personalization/confirmation_batch,0.7105,10
personalization/disambiguation_gradual,0.7925,7
personalization/disambiguation_upfront,0.7650,7
personalization/each_confirmation,0.7314,10
personalization/error_discovery_brief,0.7581,10
personalization/error_discovery_detail,0.6181,10
personalization/error_retry_escalation,0.5208,4
personalization/error_retry_silent,0.5208,4
personalization/info_collect_gradual,0.7118,10
personalization/info_collect_upfront,0.7105,10
personalization/param_high,0.6627,7
personalization/param_low,0.6549,10
personalization/param_medium,0.6824,10
personalization/presentation_compact,0.7113,10
personalization/presentation_layered,0.6982,10
personalization/silent,0.7431,10
personalization/source_high,0.7242,12
personalization/source_low,0.7069,12
personalization/tool_abortion_continue,0.7605,10
personalization/tool_abortion_stop,0.6527,10
personalization/tool_high,0.8548,7
personalization/tool_initiative_proactive,0.5963,10
personalization/tool_initiative_reactive,0.5589,10
personalization/tool_invocation_multiple,0.5167,8
personalization/tool_invocation_single,0.5479,8
personalization/tool_low,0.7054,10
personalization/tool_medium,0.6900,10
personalization/tool_switch_high_agency,0.7351,8
personalization/tool_switch_low_agency,0.6298,8
no_personalization,0.6686,282
personalization,0.6867,282
overall,0.6776,564

persona,personalization_setting,personalization_accuracy,no_personalization_accuracy,accuracy_diff,personalization_total_count,no_personalization_total_count
chain_parallel,personalization,0.6960,0.6317,0.0643,10,10
chain_sequential,personalization,0.7438,0.6716,0.0722,10,10
confirmation_batch,personalization,0.7105,0.7049,0.0056,10,10
disambiguation_gradual,personalization,0.7925,0.7364,0.0561,7,7
disambiguation_upfront,personalization,0.7650,0.7364,0.0286,7,7
each_confirmation,personalization,0.7314,0.8431,-0.1117,10,10
error_discovery_brief,personalization,0.7581,0.7471,0.0110,10,10
error_discovery_detail,personalization,0.6181,0.6838,-0.0657,10,10
error_retry_escalation,personalization,0.5208,0.5208,0.0000,4,4
error_retry_silent,personalization,0.5208,0.5208,0.0000,4,4
info_collect_gradual,personalization,0.7118,0.6843,0.0275,10,10
info_collect_upfront,personalization,0.7105,0.6801,0.0304,10,10
param_high,personalization,0.6627,0.5913,0.0714,7,7
param_low,personalization,0.6549,0.7658,-0.1110,10,10
param_medium,personalization,0.6824,0.6196,0.0627,10,10
presentation_compact,personalization,0.7113,0.6594,0.0519,10,10
presentation_layered,personalization,0.6982,0.7186,-0.0204,10,10
silent,personalization,0.7431,0.5871,0.1560,10,10
source_high,personalization,0.7242,0.7431,-0.0188,12,12
source_low,personalization,0.7069,0.7629,-0.0560,12,12
tool_abortion_continue,personalization,0.7605,0.7192,0.0413,10,10
tool_abortion_stop,personalization,0.6527,0.7194,-0.0667,10,10
tool_high,personalization,0.8548,0.8262,0.0286,7,7
tool_initiative_proactive,personalization,0.5963,0.5369,0.0594,10,10
tool_initiative_reactive,personalization,0.5589,0.5707,-0.0118,10,10
tool_invocation_multiple,personalization,0.5167,0.5479,-0.0312,8,8
tool_invocation_single,personalization,0.5479,0.4917,0.0562,8,8
tool_low,personalization,0.7054,0.6186,0.0868,10,10
tool_medium,personalization,0.6900,0.6421,0.0479,10,10
tool_switch_high_agency,personalization,0.7351,0.6622,0.0729,8,8
tool_switch_low_agency,personalization,0.6298,0.5527,0.0771,8,8

